"Year","Month","DeathRate","ZipCode"
2020,6,NA,"11363"
2020,7,4.5,"Bronx"
2020,7,3,"Brooklyn"
2020,7,2.8,"Manhattan"
2020,7,3.5,"Queens"
2020,7,2.3,"Staten_Island"
2020,7,3.3,"Citywide"
2020,7,NA,"10001"
2020,7,NA,"10002"
2020,7,NA,"10003"
2020,7,NA,"10006"
2020,7,NA,"10007"
2020,7,NA,"10009"
2020,7,NA,"10010"
2020,7,NA,"10011"
2020,7,NA,"10012"
2020,7,NA,"10013"
2020,7,NA,"10014"
2020,7,NA,"10016"
2020,7,NA,"10017"
2020,7,NA,"10018"
2020,7,NA,"10019"
2020,7,NA,"10021"
2020,7,NA,"10022"
2020,7,NA,"10023"
2020,7,NA,"10024"
2020,7,NA,"10025"
2020,7,NA,"10026"
2020,7,NA,"10027"
2020,7,NA,"10028"
2020,7,NA,"10029"
2020,7,NA,"10030"
2020,7,NA,"10031"
2020,7,NA,"10032"
2020,7,NA,"10033"
2020,7,NA,"10034"
2020,7,NA,"10035"
2020,7,NA,"10036"
2020,7,NA,"10037"
2020,7,NA,"10038"
2020,7,NA,"10039"
2020,7,NA,"10040"
2020,7,NA,"10044"
2020,7,NA,"10065"
2020,7,NA,"10069"
2020,7,NA,"10075"
2020,7,NA,"10128"
2020,7,NA,"10301"
2020,7,NA,"10302"
2020,7,NA,"10303"
2020,7,NA,"10304"
2020,7,NA,"10305"
2020,7,NA,"10306"
2020,7,NA,"10307"
2020,7,NA,"10308"
2020,7,NA,"10309"
2020,7,NA,"10310"
2020,7,NA,"10312"
2020,7,NA,"10314"
2020,7,NA,"10451"
2020,7,NA,"10452"
2020,7,NA,"10453"
2020,7,NA,"10454"
2020,7,NA,"10455"
2020,7,NA,"10456"
2020,7,NA,"10457"
2020,7,NA,"10458"
2020,7,NA,"10459"
2020,7,NA,"10460"
2020,7,NA,"10461"
2020,7,NA,"10462"
2020,7,NA,"10463"
2020,7,NA,"10464"
2020,7,NA,"10465"
2020,7,NA,"10466"
2020,7,9.8,"10467"
2020,7,NA,"10468"
2020,7,9.6,"10469"
2020,7,NA,"10470"
2020,7,NA,"10471"
2020,7,NA,"10472"
2020,7,NA,"10473"
2020,7,NA,"10474"
2020,7,NA,"10475"
2020,7,NA,"11004"
2020,7,NA,"11101"
2020,7,NA,"11102"
2020,7,NA,"11103"
2020,7,NA,"11104"
2020,7,NA,"11105"
2020,7,NA,"11106"
2020,7,NA,"11201"
2020,7,NA,"11203"
2020,7,NA,"11204"
2020,7,NA,"11205"
2020,7,NA,"11206"
2020,7,NA,"11207"
2020,7,NA,"11208"
2020,7,NA,"11209"
2020,7,NA,"11210"
2020,7,NA,"11211"
2020,7,NA,"11212"
2020,7,NA,"11213"
2020,7,NA,"11214"
2020,7,NA,"11215"
2020,7,NA,"11216"
2020,7,NA,"11217"
2020,7,NA,"11218"
2020,7,NA,"11219"
2020,7,NA,"11220"
2020,7,NA,"11221"
2020,7,NA,"11222"
2020,7,NA,"11223"
2020,7,NA,"11224"
2020,7,NA,"11225"
2020,7,NA,"11226"
2020,7,NA,"11228"
2020,7,NA,"11229"
2020,7,7.9,"11230"
2020,7,NA,"11231"
2020,7,NA,"11232"
2020,7,NA,"11233"
2020,7,NA,"11234"
2020,7,6.4,"11235"
2020,7,NA,"11236"
2020,7,NA,"11237"
2020,7,NA,"11238"
2020,7,NA,"11239"
2020,7,9.3,"11354"
2020,7,6.3,"11355"
2020,7,NA,"11356"
2020,7,NA,"11357"
2020,7,NA,"11358"
2020,7,NA,"11360"
2020,7,NA,"11361"
2020,7,NA,"11362"
2020,7,NA,"11364"
2020,7,NA,"11365"
2020,7,NA,"11366"
2020,7,NA,"11367"
2020,7,NA,"11368"
2020,7,NA,"11369"
2020,7,NA,"11370"
2020,7,NA,"11372"
2020,7,NA,"11373"
2020,7,NA,"11374"
2020,7,NA,"11375"
2020,7,5.9,"11377"
2020,7,NA,"11378"
2020,7,NA,"11379"
2020,7,NA,"11385"
2020,7,NA,"11411"
2020,7,NA,"11412"
2020,7,NA,"11413"
2020,7,NA,"11414"
2020,7,NA,"11415"
2020,7,NA,"11416"
2020,7,NA,"11417"
2020,7,NA,"11418"
2020,7,NA,"11419"
2020,7,NA,"11420"
2020,7,NA,"11421"
2020,7,NA,"11422"
2020,7,NA,"11423"
2020,7,NA,"11426"
2020,7,NA,"11427"
2020,7,NA,"11428"
2020,7,NA,"11429"
2020,7,NA,"11432"
2020,7,NA,"11433"
2020,7,NA,"11434"
2020,7,NA,"11435"
2020,7,NA,"11436"
2020,7,10.5,"11691"
2020,7,NA,"11692"
2020,7,NA,"11693"
2020,7,NA,"11694"
2020,7,NA,"11697"
2020,7,NA,"10004"
2020,7,NA,"10005"
2020,7,NA,"10280"
2020,7,NA,"10282"
2020,7,NA,"11109"
2020,7,NA,"11363"
2020,8,2.5,"Bronx"
2020,8,1.4,"Brooklyn"
2020,8,1.5,"Manhattan"
2020,8,1.5,"Queens"
2020,8,1.1,"Staten_Island"
2020,8,1.6,"Citywide"
2020,8,NA,"10001"
2020,8,NA,"10002"
2020,8,NA,"10003"
2020,8,NA,"10006"
2020,8,NA,"10007"
2020,8,NA,"10009"
2020,8,NA,"10010"
2020,8,NA,"10011"
2020,8,NA,"10012"
2020,8,NA,"10013"
2020,8,NA,"10014"
2020,8,NA,"10016"
2020,8,NA,"10017"
2020,8,NA,"10018"
2020,8,NA,"10019"
2020,8,NA,"10021"
2020,8,NA,"10022"
2020,8,NA,"10023"
2020,8,NA,"10024"
2020,8,NA,"10025"
2020,8,NA,"10026"
2020,8,NA,"10027"
2020,8,NA,"10028"
2020,8,NA,"10029"
2020,8,NA,"10030"
2020,8,NA,"10031"
2020,8,NA,"10032"
2020,8,NA,"10033"
2020,8,NA,"10034"
2020,8,NA,"10035"
2020,8,NA,"10036"
2020,8,NA,"10037"
2020,8,NA,"10038"
2020,8,NA,"10039"
2020,8,NA,"10040"
2020,8,NA,"10044"
2020,8,NA,"10065"
