"Year","Month","HospRate","ZipCode"
2020,5,60.7,"10305"
2020,5,53,"10306"
2020,5,NA,"10307"
2020,5,16.8,"10308"
2020,5,24.3,"10309"
2020,5,29.9,"10310"
2020,5,26.2,"10312"
2020,5,50.8,"10314"
2020,5,50.7,"10451"
2020,5,66.5,"10452"
2020,5,57.2,"10453"
2020,5,63.4,"10454"
2020,5,69.2,"10455"
2020,5,75.1,"10456"
2020,5,54.3,"10457"
2020,5,64.1,"10458"
2020,5,46,"10459"
2020,5,71.3,"10460"
2020,5,50.9,"10461"
2020,5,50.5,"10462"
2020,5,65.7,"10463"
2020,5,NA,"10464"
2020,5,30.1,"10465"
2020,5,57.5,"10466"
2020,5,92.1,"10467"
2020,5,83.5,"10468"
2020,5,73,"10469"
2020,5,53.4,"10470"
2020,5,94.2,"10471"
2020,5,69.1,"10472"
2020,5,59.2,"10473"
2020,5,41.8,"10474"
2020,5,77.2,"10475"
2020,5,42.2,"11004"
2020,5,19,"11101"
2020,5,49.9,"11102"
2020,5,25.8,"11103"
2020,5,23.6,"11104"
2020,5,19.3,"11105"
2020,5,21.4,"11106"
2020,5,NA,"11109"
2020,5,28.9,"11201"
2020,5,51.8,"11203"
2020,5,50.6,"11204"
2020,5,30.9,"11205"
2020,5,34.6,"11206"
2020,5,57.3,"11207"
2020,5,58.6,"11208"
2020,5,35.5,"11209"
2020,5,33.5,"11210"
2020,5,40.3,"11211"
2020,5,77.1,"11212"
2020,5,35.6,"11213"
2020,5,46.3,"11214"
2020,5,14.4,"11215"
2020,5,16.4,"11216"
2020,5,24.5,"11217"
2020,5,52.7,"11218"
2020,5,69.9,"11219"
2020,5,56,"11220"
2020,5,30.7,"11221"
2020,5,24.9,"11222"
2020,5,27,"11223"
2020,5,99.4,"11224"
2020,5,38.3,"11225"
2020,5,56.5,"11226"
2020,5,22.2,"11228"
2020,5,34.7,"11229"
2020,5,61.9,"11230"
2020,5,16.1,"11231"
2020,5,22.2,"11232"
2020,5,45.7,"11233"
2020,5,37.2,"11234"
2020,5,52.4,"11235"
2020,5,45.3,"11236"
2020,5,33.3,"11237"
2020,5,31.7,"11238"
2020,5,84.5,"11239"
2020,5,94.6,"11354"
2020,5,49.5,"11355"
2020,5,35.1,"11356"
2020,5,51.7,"11357"
2020,5,13.9,"11358"
2020,5,31.5,"11360"
2020,5,45.5,"11361"
2020,5,NA,"11362"
2020,5,NA,"11363"
2020,5,NA,"11364"
2020,5,36.5,"11365"
2020,5,NA,"11366"
2020,5,41.8,"11367"
2020,5,65.2,"11368"
2020,5,116,"11369"
2020,5,28.3,"11370"
2020,5,72.5,"11372"
2020,5,52.4,"11373"
2020,5,48.3,"11374"
2020,5,33.7,"11375"
2020,5,35.7,"11377"
2020,5,27.7,"11378"
2020,5,40.9,"11379"
2020,5,25.1,"11385"
2020,5,37.4,"11411"
2020,5,34.1,"11412"
2020,5,55.5,"11413"
2020,5,38.8,"11414"
2020,5,63.6,"11415"
2020,5,49.3,"11416"
2020,5,29,"11417"
2020,5,37.2,"11418"
2020,5,59.8,"11419"
2020,5,31.4,"11420"
2020,5,30,"11421"
2020,5,46.3,"11422"
2020,5,48.2,"11423"
2020,5,34.7,"11426"
2020,5,33.9,"11427"
2020,5,26.9,"11428"
2020,5,61.1,"11429"
2020,5,79,"11432"
2020,5,43.8,"11433"
2020,5,49.4,"11434"
2020,5,44.5,"11435"
2020,5,44.9,"11436"
2020,5,97.2,"11691"
2020,5,90.4,"11692"
2020,5,NA,"11693"
2020,5,57.7,"11694"
2020,5,NA,"11697"
2020,6,22.2,"Bronx"
2020,6,21.4,"Brooklyn"
2020,6,12.5,"Manhattan"
2020,6,18.3,"Queens"
2020,6,11.6,"Staten_Island"
2020,6,18.4,"Citywide"
2020,6,NA,"10001"
2020,6,13.3,"10002"
2020,6,NA,"10003"
2020,6,NA,"10004"
2020,6,NA,"10005"
2020,6,NA,"10006"
2020,6,NA,"10007"
2020,6,NA,"10009"
2020,6,NA,"10010"
2020,6,NA,"10011"
2020,6,NA,"10012"
2020,6,NA,"10013"
2020,6,NA,"10014"
2020,6,9.8,"10016"
2020,6,NA,"10017"
2020,6,NA,"10018"
2020,6,13.8,"10019"
2020,6,NA,"10021"
2020,6,NA,"10022"
2020,6,NA,"10023"
2020,6,NA,"10024"
2020,6,8.7,"10025"
2020,6,NA,"10026"
2020,6,18.9,"10027"
2020,6,NA,"10028"
2020,6,17.9,"10029"
2020,6,17.1,"10030"
2020,6,15.2,"10031"
2020,6,33.3,"10032"
2020,6,25.6,"10033"
2020,6,21.3,"10034"
2020,6,31.2,"10035"
2020,6,18.4,"10036"
2020,6,NA,"10037"
2020,6,NA,"10038"
2020,6,18.4,"10039"
2020,6,20.5,"10040"
2020,6,NA,"10044"
2020,6,NA,"10065"
2020,6,NA,"10069"
2020,6,NA,"10075"
2020,6,NA,"10128"
2020,6,NA,"10280"
2020,6,NA,"10282"
2020,6,12.9,"10301"
2020,6,NA,"10302"
2020,6,18.9,"10303"
2020,6,NA,"10304"
2020,6,14,"10305"
2020,6,20.8,"10306"
2020,6,NA,"10307"
2020,6,NA,"10308"
2020,6,NA,"10309"
2020,6,NA,"10310"
2020,6,NA,"10312"
2020,6,19.5,"10314"
2020,6,21.1,"10451"
2020,6,23.9,"10452"
2020,6,28,"10453"
2020,6,26.4,"10454"
2020,6,14.3,"10455"
2020,6,17.2,"10456"
2020,6,19,"10457"
2020,6,20.5,"10458"
2020,6,27.2,"10459"
2020,6,27.2,"10460"
2020,6,18.3,"10461"
2020,6,22.6,"10462"
2020,6,18.6,"10463"
2020,6,NA,"10464"
2020,6,18.6,"10465"
2020,6,18.2,"10466"
2020,6,29.4,"10467"
2020,6,24.4,"10468"
2020,6,16.5,"10469"
2020,6,NA,"10470"
2020,6,NA,"10471"
2020,6,19.1,"10472"
2020,6,18.6,"10473"
2020,6,NA,"10474"
2020,6,32.8,"10475"
2020,6,NA,"11004"
2020,6,13.6,"11101"
2020,6,NA,"11102"
2020,6,NA,"11103"
2020,6,NA,"11104"
2020,6,NA,"11105"
2020,6,NA,"11106"
2020,6,NA,"11109"
2020,6,8,"11201"
2020,6,23.2,"11203"
2020,6,23.4,"11204"
2020,6,28.7,"11205"
2020,6,13.8,"11206"
2020,6,30.3,"11207"
2020,6,22,"11208"
2020,6,16.3,"11209"
2020,6,30.4,"11210"
2020,6,13.8,"11211"
2020,6,39.2,"11212"
2020,6,18.6,"11213"
2020,6,22.6,"11214"
2020,6,NA,"11215"
2020,6,9.1,"11216"
2020,6,12.2,"11217"
2020,6,24.3,"11218"
2020,6,32.2,"11219"
2020,6,27.5,"11220"
2020,6,16,"11221"
2020,6,13.8,"11222"
2020,6,13.5,"11223"
2020,6,49.7,"11224"
2020,6,NA,"11225"
2020,6,24.7,"11226"
2020,6,17.8,"11228"
2020,6,18,"11229"
2020,6,21.4,"11230"
2020,6,NA,"11231"
2020,6,36.9,"11232"
2020,6,20.2,"11233"
2020,6,17,"11234"
2020,6,20.5,"11235"
2020,6,18.5,"11236"
2020,6,16.7,"11237"
2020,6,14.9,"11238"
2020,6,76.8,"11239"
2020,6,37.1,"11354"
2020,6,24.1,"11355"
2020,6,NA,"11356"
2020,6,20.7,"11357"
2020,6,NA,"11358"
2020,6,NA,"11360"
2020,6,NA,"11361"
2020,6,NA,"11362"
2020,6,NA,"11363"
2020,6,NA,"11364"
2020,6,16,"11365"
2020,6,NA,"11366"
2020,6,12.3,"11367"
2020,6,29.9,"11368"
2020,6,23.8,"11369"
2020,6,25.2,"11370"
2020,6,29.7,"11372"
2020,6,20.7,"11373"
2020,6,16.9,"11374"
2020,6,12.6,"11375"
2020,6,14.3,"11377"
2020,6,NA,"11378"
2020,6,19.1,"11379"
2020,6,11.6,"11385"
2020,6,NA,"11411"
2020,6,NA,"11412"
2020,6,16.2,"11413"
2020,6,NA,"11414"
2020,6,37.1,"11415"
2020,6,34.1,"11416"
2020,6,16.1,"11417"
2020,6,16,"11418"
2020,6,20.6,"11419"
2020,6,14.6,"11420"
2020,6,25,"11421"
2020,6,30.9,"11422"
2020,6,25.7,"11423"
2020,6,NA,"11426"
2020,6,NA,"11427"
2020,6,32.3,"11428"
2020,6,NA,"11429"
2020,6,24.7,"11432"
2020,6,21.9,"11433"
2020,6,15,"11434"
2020,6,24,"11435"
2020,6,NA,"11436"
2020,6,31.4,"11691"
2020,6,23.8,"11692"
2020,6,NA,"11693"
2020,6,NA,"11694"
2020,6,NA,"11697"
2020,7,18.5,"Bronx"
2020,7,14,"Brooklyn"
2020,7,10.7,"Manhattan"
2020,7,13.5,"Queens"
2020,7,11.6,"Staten_Island"
2020,7,13.9,"Citywide"
2020,7,NA,"10001"
2020,7,17.3,"10002"
2020,7,NA,"10003"
2020,7,NA,"10004"
2020,7,NA,"10005"
2020,7,NA,"10006"
2020,7,NA,"10007"
2020,7,NA,"10009"
2020,7,NA,"10010"
2020,7,14.1,"10011"
2020,7,NA,"10012"
2020,7,NA,"10013"
2020,7,NA,"10014"
2020,7,9.8,"10016"
2020,7,NA,"10017"
2020,7,NA,"10018"
2020,7,NA,"10019"
2020,7,NA,"10021"
2020,7,NA,"10022"
2020,7,NA,"10023"
2020,7,NA,"10024"
2020,7,6.5,"10025"
2020,7,12.9,"10026"
2020,7,11,"10027"
2020,7,NA,"10028"
2020,7,17.9,"10029"
2020,7,NA,"10030"
2020,7,18.6,"10031"
2020,7,14.3,"10032"
2020,7,8.5,"10033"
2020,7,14.2,"10034"
2020,7,17,"10035"
2020,7,NA,"10036"
2020,7,NA,"10037"
2020,7,NA,"10038"
2020,7,NA,"10039"
2020,7,25,"10040"
2020,7,NA,"10044"
2020,7,NA,"10065"
2020,7,NA,"10069"
2020,7,NA,"10075"
2020,7,NA,"10128"
2020,7,NA,"10280"
2020,7,NA,"10282"
2020,7,12.9,"10301"
2020,7,NA,"10302"
2020,7,NA,"10303"
2020,7,11.9,"10304"
2020,7,NA,"10305"
2020,7,NA,"10306"
2020,7,NA,"10307"
2020,7,NA,"10308"
2020,7,NA,"10309"
2020,7,21.3,"10310"
2020,7,9.8,"10312"
2020,7,15.1,"10314"
2020,7,19,"10451"
2020,7,18.6,"10452"
2020,7,17.8,"10453"
2020,7,23.8,"10454"
2020,7,26.3,"10455"
2020,7,24.7,"10456"
2020,7,27.1,"10457"
2020,7,16.9,"10458"
2020,7,23,"10459"
2020,7,18.7,"10460"
2020,7,14.3,"10461"
2020,7,21.2,"10462"
2020,7,NA,"10463"
2020,7,NA,"10464"
2020,7,NA,"10465"
2020,7,7,"10466"
2020,7,24.5,"10467"
2020,7,18,"10468"
2020,7,11,"10469"
2020,7,NA,"10470"
2020,7,NA,"10471"
2020,7,30.9,"10472"
2020,7,11.8,"10473"
2020,7,NA,"10474"
2020,7,18.7,"10475"
2020,7,NA,"11004"
2020,7,NA,"11101"
2020,7,NA,"11102"
2020,7,14.3,"11103"
2020,7,NA,"11104"
2020,7,NA,"11105"
2020,7,13.4,"11106"
2020,7,NA,"11109"
2020,7,NA,"11201"
2020,7,9.5,"11203"
2020,7,14.3,"11204"
2020,7,NA,"11205"
2020,7,23.1,"11206"
2020,7,18,"11207"
2020,7,12.6,"11208"
2020,7,NA,"11209"
2020,7,15.2,"11210"
2020,7,14.8,"11211"
2020,7,23,"11212"
2020,7,12.4,"11213"
2020,7,16.2,"11214"
2020,7,NA,"11215"
2020,7,14.6,"11216"
2020,7,NA,"11217"
2020,7,13.5,"11218"
2020,7,17.8,"11219"
2020,7,28.5,"11220"
2020,7,7.4,"11221"
2020,7,NA,"11222"
2020,7,11,"11223"
2020,7,19.5,"11224"
2020,7,12.2,"11225"
2020,7,16.4,"11226"
2020,7,11.1,"11228"
2020,7,16.8,"11229"
2020,7,15.7,"11230"
2020,7,NA,"11231"
2020,7,25.8,"11232"
2020,7,14.8,"11233"
2020,7,6.4,"11234"
2020,7,11.5,"11235"
2020,7,10.3,"11236"
2020,7,16.7,"11237"
2020,7,9.3,"11238"
2020,7,NA,"11239"
2020,7,13,"11354"
2020,7,21.6,"11355"
2020,7,NA,"11356"
2020,7,NA,"11357"
2020,7,NA,"11358"
2020,7,NA,"11360"
2020,7,NA,"11361"
2020,7,NA,"11362"
2020,7,NA,"11363"
2020,7,NA,"11364"
2020,7,NA,"11365"
2020,7,NA,"11366"
2020,7,22.1,"11367"
2020,7,29,"11368"
2020,7,32.7,"11369"
2020,7,NA,"11370"
2020,7,24.7,"11372"
2020,7,24,"11373"
2020,7,NA,"11374"
2020,7,8.4,"11375"
2020,7,10.7,"11377"
2020,7,NA,"11378"
2020,7,NA,"11379"
2020,7,11.6,"11385"
2020,7,NA,"11411"
2020,7,NA,"11412"
2020,7,NA,"11413"
2020,7,21.2,"11414"
2020,7,26.5,"11415"
2020,7,NA,"11416"
2020,7,16.1,"11417"
2020,7,13.3,"11418"
2020,7,12.4,"11419"
2020,7,10.5,"11420"
2020,7,15,"11421"
2020,7,18.5,"11422"
2020,7,16.1,"11423"
2020,7,NA,"11426"
2020,7,NA,"11427"
2020,7,NA,"11428"
2020,7,NA,"11429"
2020,7,13.2,"11432"
2020,7,27.4,"11433"
2020,7,9,"11434"
2020,7,10.3,"11435"
2020,7,34.9,"11436"
2020,7,12,"11691"
2020,7,NA,"11692"
2020,7,NA,"11693"
2020,7,NA,"11694"
2020,7,NA,"11697"
2020,8,17.6,"Bronx"
2020,8,12,"Brooklyn"
2020,8,7,"Manhattan"
2020,8,10.8,"Queens"
2020,8,9,"Staten_Island"
2020,8,11.5,"Citywide"
2020,8,NA,"10001"
2020,8,10.6,"10002"
2020,8,NA,"10003"
2020,8,NA,"10004"
2020,8,NA,"10005"
2020,8,NA,"10006"
2020,8,NA,"10007"
2020,8,NA,"10009"
2020,8,NA,"10010"
2020,8,NA,"10011"
2020,8,NA,"10012"
2020,8,NA,"10013"
2020,8,NA,"10014"
2020,8,NA,"10016"
2020,8,NA,"10017"
2020,8,NA,"10018"
2020,8,NA,"10019"
2020,8,NA,"10021"
2020,8,NA,"10022"
2020,8,NA,"10023"
2020,8,NA,"10024"
2020,8,8.7,"10025"
2020,8,NA,"10026"
2020,8,NA,"10027"
2020,8,NA,"10028"
2020,8,12.8,"10029"
2020,8,NA,"10030"
2020,8,NA,"10031"
2020,8,15.9,"10032"
2020,8,13.7,"10033"
2020,8,NA,"10034"
2020,8,17,"10035"
2020,8,NA,"10036"
2020,8,NA,"10037"
2020,8,NA,"10038"
2020,8,22.1,"10039"
2020,8,NA,"10040"
2020,8,NA,"10044"
2020,8,NA,"10065"
2020,8,NA,"10069"
2020,8,NA,"10075"
2020,8,NA,"10128"
2020,8,NA,"10280"
2020,8,NA,"10282"
2020,8,NA,"10301"
2020,8,NA,"10302"
2020,8,18.9,"10303"
2020,8,NA,"10304"
2020,8,NA,"10305"
2020,8,13.3,"10306"
2020,8,NA,"10307"
2020,8,NA,"10308"
2020,8,NA,"10309"
2020,8,21.3,"10310"
2020,8,NA,"10312"
2020,8,7.6,"10314"
2020,8,33.8,"10451"
2020,8,18.6,"10452"
2020,8,20.3,"10453"
2020,8,15.9,"10454"
2020,8,14.3,"10455"
2020,8,12.9,"10456"
2020,8,21.7,"10457"
2020,8,20.5,"10458"
2020,8,18.8,"10459"
2020,8,28.9,"10460"
2020,8,16.3,"10461"
2020,8,15.9,"10462"
2020,8,NA,"10463"
2020,8,NA,"10464"
2020,8,NA,"10465"
2020,8,18.2,"10466"
2020,8,21.6,"10467"
2020,8,15.4,"10468"
2020,8,13.8,"10469"
2020,8,40,"10470"
2020,8,NA,"10471"
2020,8,17.7,"10472"
2020,8,16.9,"10473"
2020,8,NA,"10474"
2020,8,NA,"10475"
2020,8,NA,"11004"
2020,8,NA,"11101"
2020,8,NA,"11102"
2020,8,17.2,"11103"
2020,8,NA,"11104"
2020,8,NA,"11105"
2020,8,NA,"11106"
2020,8,NA,"11109"
2020,8,NA,"11201"
2020,8,6.8,"11203"
2020,8,15.6,"11204"
2020,8,24.3,"11205"
2020,8,13.8,"11206"
2020,8,13.5,"11207"
